ipc_section,bns_section,notes
454,331(3),Lurking housetrespass or housebreaking in order to commit offence punishable with imprisonment
455,331(3),Lurking housetrespass or housebreaking in order to commit offence punishable with imprisonment for life
456,"331(2, 4)",Punishment for lurking housetrespass or housebreaking by night
457,"331(2, 4)",Lurking housetrespass or housebreaking by night in order to commit offence punishable with imprisonment
458,331,"Lurking housetrespass or housebreaking by night after preparation for hurt, assault, or wrongful restraint"
459,332,Grievous hurt caused whilst committing lurking housetrespass or housebreaking
460,331(8),All persons jointly concerned in lurking housetrespass or housebreaking by night punishable where death or grievous hurt caused by one of them
461,334,Dishonestly breaking open receptacle containing property
462,334,Punishment for same offence when committed by person entrusted with custody
463,336(1),Forgery
464,335,Making a false document
465,336(1),Punishment for forgery
466,337,"Forgery of record of Court or of public register, etc."
467,338,"Forgery of valuable security, will, etc."
468,336(2),Forgery for purpose of cheating
469,336(3),Forgery for purpose of harming reputation
470,340,Forged document
471,340,Using as genuine a forged document
472,341,"Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467"
473,341(2),"Counterfeit seal, etc., with intent to commit forgery punishable otherwise"
474,339,"Having possession of document described in section 466 or 467, knowing it to be forged and intending to use it as genuine"
475,342(1),"Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material"
476,342(2),"Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material"
477,343,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security"
477A,344,Falsification of accounts
478,Repealed in BNS,Repeal
479,345(1),Property mark
480,Repealed in BNS,Repeal
481,345(2),Using a false property mark
482,345(2),Punishment for using a false property mark
483,347(1),Counterfeiting a property mark used by a public servant
484,347(2),Counterfeiting a mark used by a public servant
485,348,Making or possession of any instrument for counterfeiting a property mark
486,349,Selling goods marked with a counterfeit property mark
487,350,Making a false mark upon any receptacle containing goods
488,351,Punishment for making use of any such false mark
489,352,Tampering with property mark with intent to cause injury
489A,178,Counterfeiting currencynotes or banknotes
489B,179,"Using as genuine, forged or counterfeit currencynotes or banknotes"
489C,180,Possession of forged or counterfeit currencynotes or banknotes
489D,181,Making or possessing instruments or materials for forging or counterfeiting currencynotes or banknotes
489E,182,Making or using documents resembling currencynotes or banknotes
490,Repealed in BNS,Repealed
491,357,Breach of contract to attend on and supply wants of helpless person
492,Repealed in BNS,Repealed
493,81,Cohabitation caused by a man deceitfully inducing a belief of lawful marriage
